Datetime,Time (abs/ms),Time (rel/ms),Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Temp,1:Y (II),1:ETR,1:Fo',1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm,1:AHum,1:Oxyg.,1:X1,1:X2,specimen_ID,subsample_ID
6/20/23 14:59,1.69E+12,1973700,6/20/23,14:59:34,FO,46,155,314,0,-,0.506,0,-,-,-,-,-,-,-,155,314,0.506,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-B
6/20/23 14:59,1.69E+12,1983511,6/20/23,14:59:44,FO,47,182,306,0,-,0.405,0,-,-,-,-,-,-,-,182,306,0.405,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-B
6/20/23 14:59,1.69E+12,1993841,6/20/23,14:59:54,FO,48,19,21,0,-,-,-,-,-,-,-,-,-,-,19,21,0.095,-,-,-,-,NA,NA
6/20/23 14:59,1.69E+12,1997302,6/20/23,14:59:58,FO,49,19,20,0,-,-,-,-,-,-,-,-,-,-,19,20,0.05,-,-,-,-,NA,NA
6/20/23 15:01,1.69E+12,2110214,6/20/23,15:01:50,FO,50,387,616,0,-,0.372,0,-,-,-,-,-,-,-,387,616,0.372,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-C
6/20/23 15:02,1.69E+12,2119950,6/20/23,15:02:00,FO,51,74,196,0,-,0.622,0,-,-,-,-,-,-,-,74,196,0.622,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-C
6/20/23 15:02,1.69E+12,2128781,6/20/23,15:02:09,FO,52,303,539,0,-,0.438,0,-,-,-,-,-,-,-,303,539,0.438,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-C
6/20/23 15:02,1.69E+12,2137406,6/20/23,15:02:18,FO,53,221,346,0,-,0.361,0,-,-,-,-,-,-,-,221,346,0.361,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-C
6/20/23 15:02,1.69E+12,2145376,6/20/23,15:02:26,FO,54,167,275,0,-,0.393,0,-,-,-,-,-,-,-,167,275,0.393,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-C
6/20/23 15:02,1.69E+12,2156050,6/20/23,15:02:36,FO,55,342,598,0,-,0.428,0,-,-,-,-,-,-,-,342,598,0.428,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-C
6/20/23 15:02,1.69E+12,2164015,6/20/23,15:02:44,FO,56,15,21,0,-,-,-,-,-,-,-,-,-,-,15,21,0.286,-,-,-,-,NA,NA
6/20/23 15:02,1.69E+12,2167710,6/20/23,15:02:48,FO,57,21,22,0,-,-,-,-,-,-,-,-,-,-,21,22,0.045,-,-,-,-,NA,NA
6/20/23 15:04,1.69E+12,2277393,6/20/23,15:04:38,FO,58,312,531,0,-,0.412,0,-,-,-,-,-,-,-,312,531,0.412,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-D
6/20/23 15:04,1.69E+12,2286885,6/20/23,15:04:47,FO,59,217,380,0,-,0.429,0,-,-,-,-,-,-,-,217,380,0.429,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-D
6/20/23 15:04,1.69E+12,2298380,6/20/23,15:04:59,FO,60,274,497,0,-,0.449,0,-,-,-,-,-,-,-,274,497,0.449,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-D
6/20/23 15:05,1.69E+12,2309357,6/20/23,15:05:10,FO,61,303,536,0,-,0.435,0,-,-,-,-,-,-,-,303,536,0.435,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-D
6/20/23 15:05,1.69E+12,2318108,6/20/23,15:05:18,FO,62,122,211,0,-,0.422,0,-,-,-,-,-,-,-,122,211,0.422,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-D
6/20/23 15:05,1.69E+12,2331595,6/20/23,15:05:32,FO,63,319,587,0,-,0.457,0,-,-,-,-,-,-,-,319,587,0.457,-,-,-,-,20230620-NAPL-002,20230620-NAPL-002-D
6/20/23 15:05,1.69E+12,2338869,6/20/23,15:05:39,FO,64,21,21,0,-,-,-,-,-,-,-,-,-,-,21,21,0,-,-,-,-,NA,NA
6/20/23 15:05,1.69E+12,2342407,6/20/23,15:05:43,FO,65,21,21,0,-,-,-,-,-,-,-,-,-,-,21,21,0,-,-,-,-,NA,NA
6/20/23 15:09,1.69E+12,2553397,6/20/23,15:09:14,FO,66,173,348,0,-,0.503,0,-,-,-,-,-,-,-,173,348,0.503,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-A
6/20/23 15:09,1.69E+12,2561907,6/20/23,15:09:22,FO,67,178,360,0,-,0.506,0,-,-,-,-,-,-,-,178,360,0.506,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-A
6/20/23 15:09,1.69E+12,2574955,6/20/23,15:09:35,FO,68,187,382,0,-,0.51,0,-,-,-,-,-,-,-,187,382,0.51,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-A
6/20/23 15:09,1.69E+12,2586031,6/20/23,15:09:46,FO,69,182,350,0,-,0.48,0,-,-,-,-,-,-,-,182,350,0.48,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-A
6/20/23 15:09,1.69E+12,2594071,6/20/23,15:09:54,FO,70,214,409,0,-,0.477,0,-,-,-,-,-,-,-,214,409,0.477,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-A
6/20/23 15:10,1.69E+12,2602862,6/20/23,15:10:03,FO,71,232,435,0,-,0.467,0,-,-,-,-,-,-,-,232,435,0.467,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-A
6/20/23 15:10,1.69E+12,2613301,6/20/23,15:10:14,FO,72,198,394,0,-,0.497,0,-,-,-,-,-,-,-,198,394,0.497,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-A
6/20/23 15:10,1.69E+12,2621425,6/20/23,15:10:22,FO,73,229,461,0,-,0.503,0,-,-,-,-,-,-,-,229,461,0.503,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-A
6/20/23 15:10,1.69E+12,2629477,6/20/23,15:10:30,FO,74,195,386,0,-,0.495,0,-,-,-,-,-,-,-,195,386,0.495,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-A
6/20/23 15:10,1.69E+12,2638925,6/20/23,15:10:39,FO,75,34,34,0,-,-,-,-,-,-,-,-,-,-,34,34,0,-,-,-,-,NA,NA
6/20/23 15:10,1.69E+12,2643179,6/20/23,15:10:43,FO,76,33,33,0,-,-,-,-,-,-,-,-,-,-,33,33,0,-,-,-,-,NA,NA
6/20/23 15:13,1.69E+12,2818726,6/20/23,15:13:39,FO,77,164,311,0,-,0.473,0,-,-,-,-,-,-,-,164,311,0.473,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-B
6/20/23 15:13,1.69E+12,2828013,6/20/23,15:13:48,FO,78,191,366,0,-,0.478,0,-,-,-,-,-,-,-,191,366,0.478,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-B
6/20/23 15:13,1.69E+12,2837684,6/20/23,15:13:58,FO,79,210,412,0,-,0.49,0,-,-,-,-,-,-,-,210,412,0.49,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-B
6/20/23 15:14,1.69E+12,2846170,6/20/23,15:14:06,FO,80,187,364,0,-,0.486,0,-,-,-,-,-,-,-,187,364,0.486,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-B
6/20/23 15:14,1.69E+12,2857430,6/20/23,15:14:18,FO,81,153,299,0,-,0.488,0,-,-,-,-,-,-,-,153,299,0.488,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-B
6/20/23 15:14,1.69E+12,2864571,6/20/23,15:14:25,FO,82,178,338,0,-,0.473,0,-,-,-,-,-,-,-,178,338,0.473,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-B
6/20/23 15:14,1.69E+12,2872244,6/20/23,15:14:32,FO,83,177,342,0,-,0.482,0,-,-,-,-,-,-,-,177,342,0.482,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-B
6/20/23 15:14,1.69E+12,2879516,6/20/23,15:14:40,FO,84,205,387,0,-,0.47,0,-,-,-,-,-,-,-,205,387,0.47,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-B
6/20/23 15:14,1.69E+12,2887683,6/20/23,15:14:48,FO,85,193,385,0,-,0.499,0,-,-,-,-,-,-,-,193,385,0.499,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-B
6/20/23 15:15,1.69E+12,2903108,6/20/23,15:15:03,FO,86,172,348,0,-,0.506,0,-,-,-,-,-,-,-,172,348,0.506,-,-,-,-,20230620-NAPL-003,20230620-NAPL-003-B
6/20/23 15:15,1.69E+12,2931995,6/20/23,15:15:32,FO,87,21,25,0,-,-,-,-,-,-,-,-,-,-,21,25,0.16,-,-,-,-,NA,NA
6/20/23 15:15,1.69E+12,2935839,6/20/23,15:15:36,FO,88,26,26,0,-,-,-,-,-,-,-,-,-,-,26,26,0,-,-,-,-,NA,NA
6/20/23 15:20,1.69E+12,3217865,6/20/23,15:20:18,FO,89,383,598,0,-,0.36,0,-,-,-,-,-,-,-,383,598,0.36,-,-,-,-,20230620-NAPL-004,20230620-NAPL-004-A
6/20/23 15:20,1.69E+12,3226931,6/20/23,15:20:27,FO,90,398,589,0,-,0.324,0,-,-,-,-,-,-,-,398,589,0.324,-,-,-,-,20230620-NAPL-004,20230620-NAPL-004-A
6/20/23 15:20,1.69E+12,3236169,6/20/23,15:20:36,FO,91,479,750,0,-,0.361,0,-,-,-,-,-,-,-,479,750,0.361,-,-,-,-,20230620-NAPL-004,20230620-NAPL-004-A
