specimen_ID,scientific_name,sp_code,maximum_height,total_dry,total_wet,total_dmc,total_volume,mass_to_height,thickness_mm_mean,sav_scaled,frond_area_scaled,sta_scaled,sap_mean,frond_peri_scaled
20210719-IVEE-024,Rhodymenia californica,R,8.6,180,830,0.21686746987951808,1,20.930232558139537,0.201,3109.591,2580960.53,3109.591,3.1731588920851417,813372.61
20210721-BULL-001,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,27.2,4630,27380,0.16910153396639882,28,170.22058823529412,0.57,44463.907,1217421773.66,44463.907,19.92765677174691,61092068.556
20210721-BULL-002,Cryptopleura ruprechtiana,BF,33.5,4980,33500,0.14865671641791045,51,148.65671641791045,0.234,137223.979,4597003296.5,137223.979,7.769069228178659,591705796.5999999
20210721-BULL-003,Cryptopleura ruprechtiana,BF,23.2,1310,7900,0.16582278481012658,10,56.46551724137931,0.223,32211.735,254472706.49999997,32211.734999999997,9.383967418615727,27117816.499999996
20210721-BULL-008,Cryptopleura ruprechtiana,BF,25.5,2380,17400,0.1367816091954023,18,93.33333333333333,0.269,68879.06599999999,1198495748.3999999,68879.06599999999,5.41517314983635,221321777.76000002
20210721-BULL-009,Cryptopleura ruprechtiana,BF,16.5,470,3600,0.13055555555555556,4,28.484848484848484,0.241,15348.842,55255831.2,15348.842,5.631318008339822,9812237.76
20210721-BULL-010,Cryptopleura ruprechtiana,BF,29.3,1170,9450,0.12380952380952381,9,39.93174061433447,0.198,38697.243,365688946.35,38697.243,6.211011370106447,58877520.029999994
20210721-BULL-011,Cryptopleura ruprechtiana,BF,27.4,830,7590,0.10935441370223979,7,30.29197080291971,0.223,34762.424,263846798.16,34762.424,6.094383638681687,43293434.382
20210721-BULL-012,Cryptopleura ruprechtiana,BF,32.2,940,8100,0.11604938271604938,8,29.19254658385093,0.211,38042.724,308146064.40000004,38042.724,6.023009287815901,51161479.2
20210721-BULL-013,Cryptopleura ruprechtiana,BF,38.6,5080,32700,0.15535168195718654,35,131.6062176165803,0.25,133210.393,4355979851.1,133210.393,6.30488516263697,690889641.7199999
