specimen_ID,scientific_name,sp_code,date_collected,year,site,maximum_height,thickness_mm_mean,frond_area_scaled,height_ww,total_dmc,height_vol,sav_scaled,sta_scaled,sap_mean
20210721-BULL-015,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,2021-07-21,2021,Bullito,59,0.454,3086764756.74,0.0015093374264517779,0.1391660271169097,1.4047619047619047,78965.586,78965.586,45.65292242442883
20210721-BULL-019,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,26,0.223,327992073.63000005,0.0028230184581976114,0.12052117263843648,2.888888888888889,35612.603,35612.603,6.430166794026785
20210721-BULL-020,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,35.4,0.266,1550057221.02,0.0016260909508497932,0.11391823610473129,1.6857142857142857,71201.526,71201.526,7.413010704366264
20210721-BULL-024,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,42.5,0.247,18825455539.08,6.490531459987783e-4,0.12981062919975564,0.5902777777777778,287499.32100000005,287499.32100000005,7.2269558992915615
20210721-BULL-025,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,32.2,0.226,306921623.36,0.0037182448036951503,0.12124711316397228,2.9272727272727277,35441.296,35441.296,7.143096177910123
20210721-BULL-026,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,38.3,0.249,1401999391.98,0.002084921066956995,0.12901469787697334,1.8238095238095238,76320.054,76320.054,7.35590616970025
20210721-BULL-027,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,21.6,0.215,49731029.34,0.006409495548961424,0.12759643916913946,4.32,14756.982,14756.982,7.032629783559439
20210721-BULL-028,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,22,0.212,95886236.72,0.004508196721311476,0.12295081967213115,3.6666666666666665,19648.819,19648.818999999996,7.997311683533258
20210721-BULL-029,Cryptopleura ruprechtiana,BF,2021-07-21,2021,Bullito,34.4,0.215,287939642.84999996,0.004327044025157233,0.11949685534591195,3.44,36218.823,36218.823,7.477770973743954
20210722-AQUE-004,Pterygophora californica,PTCA,2021-07-22,2021,Arroyo Quemado,52.3,0.375,162187966.44000003,0.0025487329434697855,0.1364522417153996,2.1791666666666667,47777.974,64829.484664265816,11.431991634867705
20210722-AQUE-005,Pterygophora californica,PTCA,2021-07-22,2021,Arroyo Quemado,53.9,0.36733333333333335,224407154.71,0.002498840982846546,0.1404728789986092,2.073076923076923,40245.72757373738,52185.676492401224,48.37840306306753
20220405-MOHK-001,Pterygophora californica,PTCA,2022-04-05,2022,Mohawk,155.7,0.4667142857142857,4539395566.259285,0.0010672936531329902,0.10136205041026028,1.3657894736842104,245374.8244239796,282845.33784807863,15.164597977898262
20220405-MOHK-002,Pterygophora californica,PTCA,2022-04-05,2022,Mohawk,108.4,0.338,2389621664.2373333,0.0017361500392395536,0.10090170892259398,2.0452830188679245,137555.807884127,161846.35314811877,19.563092131600595
20220405-MOHK-003,Pterygophora californica,PTCA,2022-04-05,2022,Mohawk,100.5,0.42977777777777776,2225500484.929333,8.103923750544293e-4,0.1163658941732385,1.005,210269.09962937026,278340.5959030873,15.714678014055085
20220407-AQUE-001,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,93.5,0.4454166666666666,2376359149.2233334,8.503092033466715e-4,0.157066205893052,0.6538461538461539,295359.88952353667,332544.1594866757,17.766755763125566
20220407-AQUE-002,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,132.5,0.32386363636363635,2501231795.6652,0.0013285605422532387,0.15944731881442264,1.0114503816793894,271902.56741199404,339613.59548178135,18.10060881116355
20220407-AQUE-003,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,130.3,0.3505384615384615,6639295417.239462,6.85749772381599e-4,0.14226018493666157,0.5791111111111111,509851.3924372651,616587.3028503393,18.79767122044296
20220407-AQUE-004,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,145.4,0.364875,3615946253.69775,0.001046999776774463,0.09186090888797678,1.3588785046728973,233367.1436899651,296720.489026499,18.937235013882148
20220407-AQUE-005,Pterygophora californica,PTCA,2022-04-07,2022,Arroyo Quemado,122.3,0.393,2117987368.682308,0.0010892702868797706,0.1363235569172671,0.9407692307692308,266885.0636309524,321917.2541524909,18.437181222983526
