specimen_ID,scientific_name,sp_code,maximum_height,thickness_mm_mean,height_ww,total_dmc,height_vol
20220503-AQUE-005,Stephanocystis osmundacea,CYOS,31.8,0.33666666666666667,0.0011845781337306762,0.14315514993481096,0.9352941176470588
20220503-AQUE-006,Stephanocystis osmundacea,CYOS,30.4,0.35203703703703704,0.0013886351178512698,0.13502649369632744,1.2666666666666666
20220503-AQUE-007,Stephanocystis osmundacea,CYOS,37,0.3722,0.0014338862191908231,0.1460626259494652,1.15625
20220719-NAPL-001,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,39,0.5905,5.570632766747608e-4,0.23368090272818168,0.5064935064935064
20220719-NAPL-002,Rhodymenia californica,R,13.7,0.49,0.004309531299150676,0.2195659012268009,3.425
20220726-BULL-001,Rhodymenia californica,R,12.3,0.14800000000000002,0.0046608563849943165,0.17923455854490336,3.3243243243243246
20220726-BULL-002,Cryptopleura ruprechtiana,BF,27.5,0.16333333333333333,0.0029865334491746306,0.15649435273675066,2.1153846153846154
20220726-BULL-003,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,28,0.375,8.17136520165762e-4,0.14909823148310278,0.717948717948718
20220726-BULL-006,Cryptopleura ruprechtiana,BF,16,0.13,0.004394397143641857,0.11837407305685252,2.666666666666667
20220726-BULL-008,Stephanocystis osmundacea,CYOS,43,0.482,3.3605827094111945e-4,0.15380527377026118,0.35833333333333334
20220726-BULL-009,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,32,0.45999999999999996,0.0019442250440488487,0.14332583996597606,1.6842105263157894
20220726-BULL-010,Pterygophora californica,PTCA,204,1.9661666666666666,2.829568435331878e-4,0.17235123266542574,0.43312101910828027
20220726-BULL-013,Rhodymenia californica,R,9,0.1,0.007569386038687973,0.19259882253994953,4.5
20220726-BULL-015,Cryptopleura ruprechtiana,BF,36,0.15586956521739131,0.0015200776928598573,0.1343157539163113,1.8
20220726-BULL-018,Cryptopleura ruprechtiana,BF,16,0.1808,4.052376972367855e-4,0.26684902363042323,0.36363636363636365
20220726-BULL-019,Cryptopleura ruprechtiana,BF,37.5,0.17933333333333334,0.001009176780860626,0.16658144729406066,0.9615384615384616
20220726-BULL-020,Stephanocystis osmundacea,CYOS,41,0.6305,5.039579133684055e-4,0.1663429863808447,0.47126436781609193
20220726-BULL-021,Rhodymenia californica,R,11,0.24,0.009760425909494233,0.15794143744454303,11
20220726-BULL-022,Rhodymenia californica,R,14,0.247,0.0038095238095238095,0.211156462585034,3.5
20220726-BULL-023,Rhodymenia californica,R,16,0.259,0.005683836589698046,0.1463587921847247,5.333333333333333
20220726-BULL-025,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,51,0.359,0.0012453604219574135,0.16365501074428598,0.9807692307692307
20220726-BULL-026,Rhodymenia californica,R,10,0.271,0.00449842555105713,0.10256410256410256,3.3333333333333335
20220726-BULL-027,Chondracanthus corymbiferus; Chondracanthus exasperatus,CC,43,0.436,0.0016859439325622428,0.17086845716526172,1.34375
