specimen_ID,subsample_ID,volume_start_mL,volume_end_mL,volume_total_mL,notes
20210621-MOHK-001,20210621-MOHK-001-A,220,232,12,
20210621-MOHK-002,20210621-MOHK-002-A,222,230,8,
20210621-MOHK-003,20210621-MOHK-003-A,221,227,6,
20210621-MOHK-004,20210621-MOHK-004-A,425,433,8,
20210621-MOHK-005,20210621-MOHK-005-A,221,222,1,
20210621-MOHK-005,20210621-MOHK-005-B,221,223,2,
20210621-MOHK-005,20210621-MOHK-005-C,221,234,13,
20210621-MOHK-006,20210621-MOHK-006-A,221,226,5,
20210621-MOHK-007,20210621-MOHK-007-A,222,228,6,
20210621-MOHK-008,20210621-MOHK-008-A,232,241,9,
20210621-MOHK-009,20210621-MOHK-009-A,427,445,18,
20210621-MOHK-010,20210621-MOHK-010-A,233,241,8,
20210621-MOHK-010,20210621-MOHK-010-B,430,442,12,
20210621-MOHK-011,20210621-MOHK-011-A,398,408,10,whole measurement only
20210621-MOHK-011,20210621-MOHK-011-B,398,408,10,whole measurement only
20210621-MOHK-012,20210621-MOHK-012-A,415,445,30,whole measurement only
20210621-MOHK-012,20210621-MOHK-012-B,415,445,30,whole measurement only
20210621-MOHK-013,20210621-MOHK-013-A,390,415,25,whole measurement only
20210621-MOHK-013,20210621-MOHK-013-B,390,415,25,whole measurement only
20210621-MOHK-014,20210621-MOHK-014-A,380,405,25,whole measurement only
20210621-MOHK-014,20210621-MOHK-014-B,380,405,25,whole measurement only
20210621-MOHK-015,20210621-MOHK-015-A,385,402,17,whole measurement only
20210621-MOHK-015,20210621-MOHK-015-B,385,402,17,whole measurement only
20210621-MOHK-016,20210621-MOHK-016-A,395,425,30,whole measurement only
20210621-MOHK-016,20210621-MOHK-016-B,395,425,30,whole measurement only
20210621-MOHK-017,20210621-MOHK-017-A,405,420,15,whole measurement only
20210621-MOHK-017,20210621-MOHK-017-B,405,420,15,whole measurement only
20210621-MOHK-018,20210621-MOHK-018-A,380,400,20,whole measurement only
20210621-MOHK-018,20210621-MOHK-018-B,380,400,20,whole measurement only
20210621-MOHK-019,20210621-MOHK-019-A,390,405,15,whole measurement only
20210621-MOHK-019,20210621-MOHK-019-B,390,405,15,whole measurement only
20210621-MOHK-020,20210621-MOHK-020-A,400,420,20,whole measurement only
20210621-MOHK-020,20210621-MOHK-020-B,400,420,20,whole measurement only
20210621-MOHK-021,20210621-MOHK-021-A,233,234,1,
20210621-MOHK-022,20210621-MOHK-022-A,239,245,6,
20210621-MOHK-023,20210621-MOHK-023-A,240,241,1,
20210623-CAPT-001,,225,236,11,
20210623-CAPT-002,,218,223,5,
20210623-CAPT-003,,220,228,8,
20210623-CAPT-004,,216,222,6,
20210623-CAPT-005,,222,224,2,
20210623-CAPT-006,,227,237,10,
20210623-CAPT-007,,87,92,5,
20210623-CAPT-008,,76,89,13,
20210623-CAPT-009,,85,91,6,
20210623-CAPT-010,,84,88,4,
20210630-MOHK-001,20210630-MOHK-001-A,218,232,14,
20210630-MOHK-001,20210630-MOHK-001-B,232,233,1,
20210630-MOHK-001,20210630-MOHK-001-C,NA,NA,NA,
20210630-MOHK-002,20210630-MOHK-002-A,212,218,6,
20210630-MOHK-002,20210630-MOHK-002-B,218,219,1,
20210630-MOHK-002,20210630-MOHK-002-C,NA,NA,NA,
20210630-MOHK-003,20210630-MOHK-003-A,210,216,6,
20210630-MOHK-003,20210630-MOHK-003-B,216,218,2,
20210630-MOHK-003,20210630-MOHK-003-C,NA,NA,NA,
20210630-MOHK-004,20210630-MOHK-004-A,207,216,9,
20210630-MOHK-004,20210630-MOHK-004-B,216,218,2,
20210630-MOHK-004,20210630-MOHK-004-C,NA,NA,NA,
20210630-MOHK-005,20210630-MOHK-005-A,108,224,116,
20210630-MOHK-005,20210630-MOHK-005-B,224,228,4,
20210630-MOHK-005,20210630-MOHK-005-C,NA,NA,NA,
20210630-MOHK-006,20210630-MOHK-006-A,214,230,16,
20210630-MOHK-006,20210630-MOHK-006-B,230,234,4,
20210630-MOHK-006,20210630-MOHK-006-C,NA,NA,NA,
20210630-MOHK-007,20210630-MOHK-007-A,208,230,22,
20210630-MOHK-007,20210630-MOHK-007-B,230,233,3,
20210630-MOHK-007,20210630-MOHK-007-C,NA,NA,NA,
20210630-MOHK-008,20210630-MOHK-008-A,212,228,16,
20210630-MOHK-008,20210630-MOHK-008-B,228,232,4,
20210630-MOHK-008,20210630-MOHK-008-C,NA,NA,NA,
20210630-MOHK-009,20210630-MOHK-009-A,208,230,22,
20210630-MOHK-009,20210630-MOHK-009-B,230,233,3,
20210630-MOHK-009,20210630-MOHK-009-C,NA,NA,NA,
20210630-MOHK-010,20210630-MOHK-010-A,204,214,10,
20210630-MOHK-010,20210630-MOHK-010-B,214,215,1,
20210630-MOHK-010,20210630-MOHK-010-C,NA,NA,NA,
20210630-MOHK-011,20210630-MOHK-011-A,201,209,8,
20210630-MOHK-011,20210630-MOHK-011-B,NA,NA,0.5,
20210630-MOHK-011,20210630-MOHK-011-C,NA,NA,NA,
20210630-MOHK-012,20210630-MOHK-012-A,880,950,70,
20210630-MOHK-012,20210630-MOHK-012-B,NA,NA,5,
20210630-MOHK-012,20210630-MOHK-012-C,NA,NA,NA,
20210630-MOHK-013,20210630-MOHK-013-A,880,930,50,
20210630-MOHK-013,20210630-MOHK-013-B,NA,NA,2,
20210630-MOHK-013,20210630-MOHK-013-C,NA,NA,NA,
20210630-MOHK-014,20210630-MOHK-014-A,800,875,75,
20210630-MOHK-014,20210630-MOHK-014-B,NA,NA,4,
20210630-MOHK-014,20210630-MOHK-014-C,NA,NA,NA,
20210630-MOHK-015,20210630-MOHK-015-A,840,885,45,
20210630-MOHK-015,20210630-MOHK-015-B,NA,NA,2,
20210630-MOHK-015,20210630-MOHK-015-C,NA,NA,NA,
20210630-MOHK-016,20210630-MOHK-016-A,850,950,100,
20210630-MOHK-016,20210630-MOHK-016-B,NA,NA,1,
20210630-MOHK-016,20210630-MOHK-016-C,NA,NA,NA,
20210630-MOHK-017,20210630-MOHK-017-A,870,950,80,
20210630-MOHK-017,20210630-MOHK-017-B,NA,NA,1,
20210630-MOHK-017,20210630-MOHK-017-C,NA,NA,NA,
20210630-MOHK-018,20210630-MOHK-018-A,194,218,24,
20210630-MOHK-018,20210630-MOHK-018-B,218,219,1,
20210630-MOHK-019,20210630-MOHK-019-A,490,570,80,
20210630-MOHK-019,20210630-MOHK-019-B,NA,NA,1,
20210630-MOHK-020,20210630-MOHK-020-A,770,810,40,
20210630-MOHK-020,20210630-MOHK-020-B,NA,NA,1,
20210630-MOHK-021,20210630-MOHK-021-A,208,234,26,
20210630-MOHK-021,20210630-MOHK-021-B,NA,NA,0.5,
20210630-MOHK-022,20210630-MOHK-022-A,204,208,4,
20210630-MOHK-023,20210630-MOHK-023-A,195,198,3,
20210630-MOHK-024,20210630-MOHK-024-A,194,197,3,
20210630-MOHK-024,20210630-MOHK-024-B,194,195,1,
20210630-MOHK-025,20210630-MOHK-025-A,79,80,1,
20210630-MOHK-026,20210630-MOHK-026-A,78,84,6,
20210630-MOHK-027,20210630-MOHK-027-A,200,206,6,
20210630-MOHK-028,20210630-MOHK-028-A,203,215,12,
20210630-MOHK-028,20210630-MOHK-028-B,215,219,4,
20210630-MOHK-028,20210630-MOHK-028-C,NA,NA,NA,
20210630-MOHK-029,20210630-MOHK-029-A,198,227,29,
20210630-MOHK-029,20210630-MOHK-029-B,227,230,3,
20210630-MOHK-029,20210630-MOHK-029-C,NA,NA,NA,
20210630-MOHK-030,20210630-MOHK-030-A,182,190,8,
20210630-MOHK-030,20210630-MOHK-030-B,190,192,2,
20210630-MOHK-030,20210630-MOHK-030-C,NA,NA,NA,
20210630-MOHK-031,20210630-MOHK-031-A,81,88,7,
20210630-MOHK-031,20210630-MOHK-031-B,88,88.5,0.5,
20210630-MOHK-031,20210630-MOHK-031-C,NA,NA,NA,
20210630-MOHK-032,20210630-MOHK-032-A,85,91,6,
20210630-MOHK-033,20210630-MOHK-033-A,85,92,7,
20210630-MOHK-034,20210630-MOHK-034-A,180,194,14,
20210630-MOHK-035,20210630-MOHK-035-A,85,91,6,
20210630-MOHK-035,20210630-MOHK-035-B,91,94,3,
20210630-MOHK-035,20210630-MOHK-035-C,NA,NA,NA,
20210630-MOHK-036,20210630-MOHK-036-A,212,227,15,
20210630-MOHK-036,20210630-MOHK-036-B,227,229,2,
20210630-MOHK-036,20210630-MOHK-036-C,NA,NA,NA,
20210630-MOHK-037,20210630-MOHK-037-A,202,211,9,
20210630-MOHK-037,20210630-MOHK-037-B,211,214,3,
20210630-MOHK-037,20210630-MOHK-037-C,NA,NA,NA,
20210630-MOHK-038,20210630-MOHK-038-A,221,232,11,
20210630-MOHK-038,20210630-MOHK-038-B,232,235,3,
20210630-MOHK-038,20210630-MOHK-038-C,NA,NA,NA,
20210630-MOHK-039,20210630-MOHK-039-A,216,222,6,
20210630-MOHK-039,20210630-MOHK-039-B,222,224,2,
20210630-MOHK-039,20210630-MOHK-039-C,NA,NA,NA,
20210630-MOHK-040,20210630-MOHK-040-A,214,220,6,
20210630-MOHK-040,20210630-MOHK-040-B,220,222,2,
20210630-MOHK-040,20210630-MOHK-040-C,NA,NA,NA,
20210630-MOHK-041,20210630-MOHK-041-A,81,82,1,
20210630-MOHK-042,20210630-MOHK-042-A,80,81,1,
20210630-MOHK-043,20210630-MOHK-043-A,80,82,2,
20210630-MOHK-044,20210630-MOHK-044-A,80,81,1,
20210630-MOHK-045,20210630-MOHK-045-A,80,82,2,
20210630-MOHK-046,20210630-MOHK-046-A,214,219,5,
20210630-MOHK-047,20210630-MOHK-047-A,213,222,9,
20210630-MOHK-047,20210630-MOHK-047-B,222,224,2,
20210630-MOHK-047,20210630-MOHK-047-C,NA,NA,NA,
20210709-MOHK-001,20210709-MOHK-001-A,216,224,8,
20210709-MOHK-002,20210709-MOHK-002-A,78,81,3,
20210709-MOHK-003,20210709-MOHK-003-A,78,85,7,
20210709-MOHK-004,20210709-MOHK-004-A,76,76.5,0.5,
20210709-MOHK-004,20210709-MOHK-004-B,76.5,77,0.5,
20210709-MOHK-004,20210709-MOHK-004-C,NA,NA,NA,
20210709-MOHK-005,20210709-MOHK-005-A,86,89,3,
20210709-MOHK-005,20210709-MOHK-005-B,89,89.5,0.5,
20210709-MOHK-005,20210709-MOHK-005-C,NA,NA,NA,
20210709-MOHK-006,20210709-MOHK-006-A,85,89,4,
20210709-MOHK-006,20210709-MOHK-006-B,89,90,1,
20210709-MOHK-006,20210709-MOHK-006-C,NA,NA,NA,
20210709-MOHK-007,20210709-MOHK-007-A,83.5,85,1.5,
20210709-MOHK-007,20210709-MOHK-007-B,85,85.5,0.5,
20210709-MOHK-007,20210709-MOHK-007-C,NA,NA,NA,
20210709-MOHK-008,20210709-MOHK-008-A,82,83,1,
20210709-MOHK-008,20210709-MOHK-008-B,83,83.5,0.5,
20210709-MOHK-008,20210709-MOHK-008-C,NA,NA,NA,
20210709-MOHK-009,20210709-MOHK-009-A,220,235,15,
20210709-MOHK-010,20210709-MOHK-010-A,82,83,1,
20210709-MOHK-010,20210709-MOHK-010-B,83,83.5,0.5,
20210709-MOHK-010,20210709-MOHK-010-C,NA,NA,NA,
20210719-IVEE-001,20210719-IVEE-001-A,91,92,1,
20210719-IVEE-001,20210719-IVEE-001-B,92,92.5,0.5,
20210719-IVEE-002,20210719-IVEE-002-A,91,91.5,0.5,
20210719-IVEE-002,20210719-IVEE-002-B,NA,NA,NA,
20210719-IVEE-003,20210719-IVEE-003-A,91,91.5,0.5,
20210719-IVEE-003,20210719-IVEE-003-B,NA,NA,NA,
20210719-IVEE-003,20210719-IVEE-003-C,NA,NA,NA,
20210719-IVEE-004,20210719-IVEE-004-A,90,94,4,
20210719-IVEE-005,20210719-IVEE-005-A,88,89,1,
20210719-IVEE-006,20210719-IVEE-006-A,87,89,2,
20210719-IVEE-007,20210719-IVEE-007-A,86,88,2,
20210719-IVEE-008,20210719-IVEE-008-A,85,86,1,
20210719-IVEE-009,20210719-IVEE-009-A,85,85,0,
20210719-IVEE-010,20210719-IVEE-010-A,92,92,0,
20210719-IVEE-011,20210719-IVEE-011-A,92,92.5,0.5,
20210719-IVEE-012,20210719-IVEE-012-A,85,90,5,
20210719-IVEE-013,20210719-IVEE-013-A,82.5,95,12.5,
20210719-IVEE-014,20210719-IVEE-014-A,74,85,11,
20210719-IVEE-015,20210719-IVEE-015-A,71.5,80,8.5,
20210719-IVEE-016,20210719-IVEE-016-A,74,84,10,
20210719-IVEE-017,20210719-IVEE-017-A,71.5,82,10.5,
20210719-IVEE-018,20210719-IVEE-018-A,67,84,17,
20210719-IVEE-019,20210719-IVEE-019-A,76.5,78.5,2,
20210719-IVEE-020,20210719-IVEE-020-A,84,84.5,0.5,
20210719-IVEE-021,20210719-IVEE-021-A,84,86,2,
20210719-IVEE-022,20210719-IVEE-022-A,83,84,1,
20210719-IVEE-023,20210719-IVEE-023-A,82,84,2,
20210719-IVEE-024,20210719-IVEE-024-A,80,81,1,
20210719-IVEE-025,20210719-IVEE-025-A,79,86,7,
20210719-IVEE-026,20210719-IVEE-026-A,83,86,3,
20210719-IVEE-026,20210719-IVEE-026-B,82,85,3,
20210719-IVEE-026,20210719-IVEE-026-C,80,83,3,
20210719-IVEE-026,20210719-IVEE-026-D,NA,NA,NA,
20210720-CARP-001,20210720-CARP-001-A,85,95,10,
20210720-CARP-001,20210720-CARP-001-B,77,93,16,
20210720-CARP-001,20210720-CARP-001-C,NA,NA,NA,
20210720-CARP-002,20210720-CARP-002-A,77,90,13,
20210720-CARP-002,20210720-CARP-002-B,86,90,4,
20210720-CARP-002,20210720-CARP-002-C,86,89,3,
20210720-CARP-002,20210720-CARP-002-D,84,87,3,
20210720-CARP-002,20210720-CARP-002-E,77,92,15,
20210720-CARP-002,20210720-CARP-002-F,NA,NA,NA,
20210721-BULL-001,20210721-BULL-001-A,190,218,28,
20210721-BULL-002,20210721-BULL-002-A,193,244,51,
20210721-BULL-003,20210721-BULL-003-A,210,220,10,
20210721-BULL-004,20210721-BULL-004-A,205,243,38,
20210721-BULL-004,20210721-BULL-004-B,194,202,8,
20210721-BULL-004,20210721-BULL-004-C,NA,NA,NA,
20210721-BULL-005,20210721-BULL-005-A,190,224,34,
20210721-BULL-005,20210721-BULL-005-B,185,230,45,
20210721-BULL-005,20210721-BULL-005-C,178,187,9,
20210721-BULL-006,20210721-BULL-006-A,178,188,10,
20210721-BULL-006,20210721-BULL-006-B,188,190,2,
20210721-BULL-006,20210721-BULL-006-C,NA,NA,NA,
20210721-BULL-007,20210721-BULL-007-A,175,191,16,
20210721-BULL-007,20210721-BULL-007-B,191,194,3,
20210721-BULL-007,20210721-BULL-007-C,NA,NA,NA,
20210721-BULL-008,20210721-BULL-008-A,222,240,18,
20210721-BULL-009,20210721-BULL-009-A,210,214,4,
20210721-BULL-010,20210721-BULL-010-A,208,217,9,
20210721-BULL-011,20210721-BULL-011-A,204,211,7,
20210721-BULL-012,20210721-BULL-012-A,199,207,8,
20210721-BULL-013,20210721-BULL-013-A,186,221,35,
20210721-BULL-014,20210721-BULL-014-A,175,183,8,
20210721-BULL-015,20210721-BULL-015-A,198,240,42,
20210721-BULL-016,20210721-BULL-016-A,90.5,91,0.5,
20210721-BULL-017,20210721-BULL-017-A,90,91,1,
20210721-BULL-018,20210721-BULL-018-A,90,90.5,0.5,
20210721-BULL-019,20210721-BULL-019-A,166,175,9,
20210721-BULL-020,20210721-BULL-020-A,174,195,21,
20210721-BULL-021,20210721-BULL-021-A,229,248,19,
20210721-BULL-022,20210721-BULL-022-A,86,89,3,
20210721-BULL-023,20210721-BULL-023-A,87,91,4,
20210721-BULL-024,20210721-BULL-024-A,172,244,72,
20210721-BULL-025,20210721-BULL-025-A,230,241,11,
20210721-BULL-026,20210721-BULL-026-A,222,243,21,
20210721-BULL-027,20210721-BULL-027-A,85,90,5,
20210721-BULL-028,20210721-BULL-028-A,83,89,6,
20210721-BULL-029,20210721-BULL-029-A,80,90,10,
20210722-AQUE-001,20210722-AQUE-001-A,77,82,5,
20210722-AQUE-001,20210722-AQUE-001-B,82,83,1,
20210722-AQUE-001,20210722-AQUE-001-C,NA,NA,NA,
20210722-AQUE-002,20210722-AQUE-002-A,76,85,9,
20210722-AQUE-002,20210722-AQUE-002-B,85,87,2,
20210722-AQUE-002,20210722-AQUE-002-C,NA,NA,NA,
20210722-AQUE-003,20210722-AQUE-003-A,72,75,3,
20210722-AQUE-003,20210722-AQUE-003-B,75,76,1,
20210722-AQUE-003,20210722-AQUE-003-C,NA,NA,NA,
20210722-AQUE-004,20210722-AQUE-004-A,72,77,5,
20210722-AQUE-004,20210722-AQUE-004-B,71,73,2,
20210722-AQUE-004,20210722-AQUE-004-C,70,74,4,
20210722-AQUE-004,20210722-AQUE-004-D,69,75,6,
20210722-AQUE-004,20210722-AQUE-004-E,77,84,7,
20210722-AQUE-004,20210722-AQUE-004-F,NA,NA,NA,
20210722-AQUE-005,20210722-AQUE-005-A,69,74,5,
20210722-AQUE-005,20210722-AQUE-005-B,74,85,11,
20210722-AQUE-005,20210722-AQUE-005-C,73,79,6,
20210722-AQUE-005,20210722-AQUE-005-D,71,75,4,
20210722-AQUE-005,20210722-AQUE-005-E,NA,NA,NA,
20220405-MOHK-001,20220405-MOHK-001-A,78,99,21,
20220405-MOHK-001,20220405-MOHK-001-B,188,236,48,
20220405-MOHK-001,20220405-MOHK-001-C,73,88,15,
20220405-MOHK-001,20220405-MOHK-001-D,71,79,8,
20220405-MOHK-001,20220405-MOHK-001-E,84,88,4,
20220405-MOHK-001,20220405-MOHK-001-F,83,91,8,
20220405-MOHK-001,20220405-MOHK-001-G,83,84,1,
20220405-MOHK-001,20220405-MOHK-001-H,82,91,9,
20220405-MOHK-001,20220405-MOHK-001-I,NA,NA,NA,
20220405-MOHK-002,20220405-MOHK-002-A,81,91,10,
20220405-MOHK-002,20220405-MOHK-002-B,192,217,30,
20220405-MOHK-002,20220405-MOHK-002-C,78,85,7,
20220405-MOHK-002,20220405-MOHK-002-D,85,86,1,
20220405-MOHK-002,20220405-MOHK-002-E,75,80,5,
20220405-MOHK-003,20220405-MOHK-003-A,79,87,8,
20220405-MOHK-003,20220405-MOHK-003-B,78,86,8,
20220405-MOHK-003,20220405-MOHK-003-C,77,92,15,
20220405-MOHK-003,20220405-MOHK-003-D,71,83,12,
20220405-MOHK-003,20220405-MOHK-003-E,73,82,9,
20220405-MOHK-003,20220405-MOHK-003-F,79,96,17,
20220405-MOHK-003,20220405-MOHK-003-G,77,84,7,
20220405-MOHK-003,20220405-MOHK-003-H,76,77,1,
20220405-MOHK-003,20220405-MOHK-003-I,76,80,4,
20220405-MOHK-003,20220405-MOHK-003-J,75,77,2,
20220405-MOHK-003,20220405-MOHK-003-K,79,96,17,
20220407-AQUE-001,20220407-AQUE-001-A,87,91,4,
20220407-AQUE-001,20220407-AQUE-001-B,87,97,10,
20220407-AQUE-001,20220407-AQUE-001-C,86,91,5,
20220407-AQUE-001,20220407-AQUE-001-D,85,97,12,
20220407-AQUE-001,20220407-AQUE-001-E,82,96,14,
20220407-AQUE-001,20220407-AQUE-001-F,198,230,32,
20220407-AQUE-001,20220407-AQUE-001-G,84,98,14,
20220407-AQUE-001,20220407-AQUE-001-H,83,99,16,
20220407-AQUE-001,20220407-AQUE-001-I,81,91,10,
20220407-AQUE-001,20220407-AQUE-001-J,81,83,2,
20220407-AQUE-001,20220407-AQUE-001-K,80,84,4,
20220407-AQUE-001,20220407-AQUE-001-L,78,85,7,
20220407-AQUE-001,20220407-AQUE-001-M,78,91,13,
20220407-AQUE-002,20220407-AQUE-002-A,89,92,3,
20220407-AQUE-002,20220407-AQUE-002-B,88,93,5,
20220407-AQUE-002,20220407-AQUE-002-C,88,98,10,
20220407-AQUE-002,20220407-AQUE-002-D,230,248,18,
20220407-AQUE-002,20220407-AQUE-002-E,226,242,16,
20220407-AQUE-002,20220407-AQUE-002-F,84,89,5,
20220407-AQUE-002,20220407-AQUE-002-G,200,232,32,
20220407-AQUE-002,20220407-AQUE-002-H,83,97,14,
20220407-AQUE-002,20220407-AQUE-002-I,85,90,5,
20220407-AQUE-002,20220407-AQUE-002-J,82,87,5,
20220407-AQUE-002,20220407-AQUE-002-K,81,85,4,
20220407-AQUE-002,20220407-AQUE-002-L,81,95,14,
20220407-AQUE-003,20220407-AQUE-003-A,85,93,8,
20220407-AQUE-003,20220407-AQUE-003-B,84,92,8,
20220407-AQUE-003,20220407-AQUE-003-C,84,91,7,
20220407-AQUE-003,20220407-AQUE-003-D,82,99,17,
20220407-AQUE-003,20220407-AQUE-003-E,80,93,13,
20220407-AQUE-003,20220407-AQUE-003-F,77,87,10,
20220407-AQUE-003,20220407-AQUE-003-G,79,83,4,
20220407-AQUE-003,20220407-AQUE-003-H,192,259,67,
20220407-AQUE-003,20220407-AQUE-003-I,78,84,6,
20220407-AQUE-003,20220407-AQUE-003-J,75,92,17,
20220407-AQUE-003,20220407-AQUE-003-K,79,98,19,
20220407-AQUE-003,20220407-AQUE-003-L,76,92,16,
20220407-AQUE-003,20220407-AQUE-003-M,73,87,14,
20220407-AQUE-003,20220407-AQUE-003-N,75,76,1,
20220407-AQUE-003,20220407-AQUE-003-O,182,200,18,
20220407-AQUE-004,20220407-AQUE-004-A,85,91,6,
20220407-AQUE-004,20220407-AQUE-004-B,84,92,8,
20220407-AQUE-004,20220407-AQUE-004-C,79,96,17,
20220407-AQUE-004,20220407-AQUE-004-D,76,80,4,
20220407-AQUE-004,20220407-AQUE-004-E,186,225,39,
20220407-AQUE-004,20220407-AQUE-004-F,74,78,4,
20220407-AQUE-004,20220407-AQUE-004-G,74,84,10,
20220407-AQUE-004,20220407-AQUE-004-H,72,80,8,
20220407-AQUE-004,20220407-AQUE-004-I,214,225,11,
20220407-AQUE-004,20220407-AQUE-004-J,NA,NA,NA,
20220407-AQUE-005,20220407-AQUE-005-A,86,92,6,
20220407-AQUE-005,20220407-AQUE-005-B,85,89,4,
20220407-AQUE-005,20220407-AQUE-005-C,84,90,6,
20220407-AQUE-005,20220407-AQUE-005-D,83,95,12,
20220407-AQUE-005,20220407-AQUE-005-E,83,89,6,
20220407-AQUE-005,20220407-AQUE-005-F,81,88,7,
20220407-AQUE-005,20220407-AQUE-005-G,200,232,32,
20220407-AQUE-005,20220407-AQUE-005-H,87,93,6,
20220407-AQUE-005,20220407-AQUE-005-I,86,98,12,
20220407-AQUE-005,20220407-AQUE-005-J,85,94,9,
20220407-AQUE-005,20220407-AQUE-005-K,84,88,4,
20220407-AQUE-005,20220407-AQUE-005-L,83,91,8,
20220407-AQUE-005,20220407-AQUE-005-M,83,88,5,
20220407-AQUE-005,20220407-AQUE-005-N,81,82,1,
20220407-AQUE-005,20220407-AQUE-005-O,212,224,12,
20220407-AQUE-005,20220407-AQUE-005-P,NA,NA,NA,
20220407-AQUE-006,20220407-AQUE-006-A,79,89,10,
20220407-AQUE-006,20220407-AQUE-006-B,72,82,10,
20220407-AQUE-006,20220407-AQUE-006-C,76,85,9,
20220407-AQUE-006,20220407-AQUE-006-D,73,88,15,
20220407-AQUE-006,20220407-AQUE-006-E,91,93,2,
20220407-AQUE-006,20220407-AQUE-006-F,192,234,42,
20220407-AQUE-006,20220407-AQUE-006-G,87,90,3,
20220407-AQUE-006,20220407-AQUE-006-H,76,96,20,
20220407-AQUE-006,20220407-AQUE-006-I,72,91,19,
20220407-AQUE-006,20220407-AQUE-006-J,72,94,22,
20220407-AQUE-006,20220407-AQUE-006-K,79,84,5,
20220407-AQUE-006,20220407-AQUE-006-L,226,238,12,
20220407-AQUE-006,20220407-AQUE-006-M,NA,NA,NA,
20220407-AQUE-007,20220407-AQUE-007-A,73,80,7,
20220407-AQUE-007,20220407-AQUE-007-B,71,74,3,
20220407-AQUE-007,20220407-AQUE-007-C,71,74,3,
20220407-AQUE-007,20220407-AQUE-007-D,71,83,12,
20220407-AQUE-007,20220407-AQUE-007-E,69,77,8,
20220407-AQUE-007,20220407-AQUE-007-F,67,69,2,
20220407-AQUE-007,20220407-AQUE-007-G,216,238,22,
20220407-AQUE-007,20220407-AQUE-007-H,67,72,5,
20220407-AQUE-007,20220407-AQUE-007-I,67,75,8,
20220407-AQUE-007,20220407-AQUE-007-J,65,76,11,
20220407-AQUE-007,20220407-AQUE-007-K,72,78,6,
20220407-AQUE-007,20220407-AQUE-007-L,64,70,6,
20220407-AQUE-007,20220407-AQUE-007-M,63,64,1,
20220407-AQUE-007,20220407-AQUE-007-N,70,71,1,
20220407-AQUE-007,20220407-AQUE-007-O,76,87,11,
20220407-AQUE-007,20220407-AQUE-007-P,NA,NA,NA,
20220407-AQUE-008,20220407-AQUE-008-A,70,74,4,
20220407-AQUE-008,20220407-AQUE-008-B,70,74,4,
20220407-AQUE-008,20220407-AQUE-008-C,69,74,5,
20220407-AQUE-008,20220407-AQUE-008-D,69,77,8,
20220407-AQUE-008,20220407-AQUE-008-E,68,82,14,
20220407-AQUE-008,20220407-AQUE-008-F,66,88,22,
20220407-AQUE-008,20220407-AQUE-008-G,77,90,13,
20220407-AQUE-008,20220407-AQUE-008-H,75,79,4,
20220407-AQUE-008,20220407-AQUE-008-I,198,242,44,
20220407-AQUE-008,20220407-AQUE-008-J,74,75,1,
20220407-AQUE-008,20220407-AQUE-008-K,74,81,7,
20220407-AQUE-008,20220407-AQUE-008-L,71,94,23,
20220407-AQUE-008,20220407-AQUE-008-M,74,91,17,
20220407-AQUE-008,20220407-AQUE-008-N,68,74,6,
20220407-AQUE-008,20220407-AQUE-008-O,77,78,1,
20220407-AQUE-008,20220407-AQUE-008-P,88,95,7,
20220407-AQUE-008,20220407-AQUE-008-Q,NA,NA,NA,
20220407-AQUE-009,20220407-AQUE-009-A,71,76,5,
20220407-AQUE-009,20220407-AQUE-009-B,71,80,9,
20220407-AQUE-009,20220407-AQUE-009-C,196,224,28,
20220407-AQUE-009,20220407-AQUE-009-D,68,78,10,
20220407-AQUE-009,20220407-AQUE-009-E,61,73,12,
20220407-AQUE-009,20220407-AQUE-009-F,71,76,5,
20220407-AQUE-009,20220407-AQUE-009-G,71,75,4,
20220407-AQUE-009,20220407-AQUE-009-H,82,90,8,
20220407-AQUE-010,20220407-AQUE-010-A,72,73,1,
20220407-AQUE-010,20220407-AQUE-010-B,78,79,1,
20220407-AQUE-010,20220407-AQUE-010-C,77,83,6,
20220407-AQUE-010,20220407-AQUE-010-D,75,78,3,
20220407-AQUE-010,20220407-AQUE-010-E,75,76,1,
20220407-AQUE-010,20220407-AQUE-010-F,75,75,0,
20220407-AQUE-010,20220407-AQUE-010-G,74,77,3,
20220407-AQUE-010,20220407-AQUE-010-H,NA,NA,NA,
20220407-AQUE-011,20220407-AQUE-011-A,75,78,3,
20220407-AQUE-011,20220407-AQUE-011-B,74,81,7,
20220407-AQUE-011,20220407-AQUE-011-C,72,74,2,
20220407-AQUE-011,20220407-AQUE-011-D,71,74,3,
20220407-AQUE-011,20220407-AQUE-011-E,70,73,3,
20220407-AQUE-011,20220407-AQUE-011-F,70,71,1,
20220407-AQUE-011,20220407-AQUE-011-G,73,76,3,
20220407-AQUE-011,20220407-AQUE-011-H,NA,NA,NA,
20220407-AQUE-012,20220407-AQUE-012-A,79,81,2,
20220407-AQUE-012,20220407-AQUE-012-B,78,90,12,
20220407-AQUE-012,20220407-AQUE-012-C,75,78,3,
20220407-AQUE-012,20220407-AQUE-012-D,202,224,22,
20220407-AQUE-012,20220407-AQUE-012-E,74,81,7,
20220407-AQUE-012,20220407-AQUE-012-F,72,73,1,
20220407-AQUE-012,20220407-AQUE-012-G,72,75,3,
20220407-AQUE-012,20220407-AQUE-012-H,72,73,1,
