specimen_ID,subsample_ID,date_collected,site,sp_code,needs_check,number_subsamples,notes,type,lifestage,reorg_notes,year
20230627-MOHK-004,20230627-MOHK-004-H,2023-06-27,Mohawk,EGME,NA,9,herbarium project,thallus,NA,NA,2023
20230627-MOHK-004,20230627-MOHK-004-I,2023-06-27,Mohawk,EGME,NA,9,herbarium project,thallus,NA,NA,2023
20230627-MOHK-005,20230627-MOHK-005-A,2023-06-27,Mohawk,CO,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-005,20230627-MOHK-005-B,2023-06-27,Mohawk,CO,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-005,20230627-MOHK-005-C,2023-06-27,Mohawk,CO,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-005,20230627-MOHK-005-D,2023-06-27,Mohawk,CO,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-005,20230627-MOHK-005-E,2023-06-27,Mohawk,CO,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-006,20230627-MOHK-006-A,2023-06-27,Mohawk,GR,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-006,20230627-MOHK-006-B,2023-06-27,Mohawk,GR,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-006,20230627-MOHK-006-C,2023-06-27,Mohawk,GR,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-006,20230627-MOHK-006-D,2023-06-27,Mohawk,GR,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-006,20230627-MOHK-006-E,2023-06-27,Mohawk,GR,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-007,20230627-MOHK-007-A,2023-06-27,Mohawk,EGME,NA,10,NA,thallus,NA,NA,2023
20230627-MOHK-007,20230627-MOHK-007-B,2023-06-27,Mohawk,EGME,NA,10,chlA,thallus,NA,NA,2023
20230627-MOHK-007,20230627-MOHK-007-C,2023-06-27,Mohawk,EGME,NA,10,NA,thallus,NA,NA,2023
20230627-MOHK-007,20230627-MOHK-007-D,2023-06-27,Mohawk,EGME,NA,10,chlA,thallus,NA,NA,2023
20230627-MOHK-007,20230627-MOHK-007-E,2023-06-27,Mohawk,EGME,NA,10,NA,thallus,NA,NA,2023
20230627-MOHK-007,20230627-MOHK-007-F,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-007,20230627-MOHK-007-G,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-007,20230627-MOHK-007-H,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-007,20230627-MOHK-007-I,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-007,20230627-MOHK-007-J,2023-06-27,Mohawk,EGME,NA,10,herbarium project,thallus,NA,NA,2023
20230627-MOHK-008,20230627-MOHK-008-A,2023-06-27,Mohawk,GS,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-008,20230627-MOHK-008-B,2023-06-27,Mohawk,GS,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-008,20230627-MOHK-008-C,2023-06-27,Mohawk,GS,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-008,20230627-MOHK-008-D,2023-06-27,Mohawk,GS,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-008,20230627-MOHK-008-E,2023-06-27,Mohawk,GS,NA,5,NA,remainder,NA,NA,2023
20230627-MOHK-009,20230627-MOHK-009-A,2023-06-27,Mohawk,GS,NA,5,NA,thallus,NA,NA,2023
20230627-MOHK-009,20230627-MOHK-009-B,2023-06-27,Mohawk,GS,NA,5,chlA,thallus,NA,NA,2023
20230627-MOHK-009,20230627-MOHK-009-C,2023-06-27,Mohawk,GS,NA,5,NA,thallus,NA,NA,2023
