specimen_ID,maximum_height,method
20220726-BULL-007,34,measurement
20220726-BULL-008,43,measurement
20220726-BULL-009,32,measurement
20220726-BULL-010,204,measurement
20220726-BULL-011,14.5,measurement
20220726-BULL-012,44.5,measurement
20220726-BULL-013,9,measurement
20220726-BULL-014,56,measurement
20220726-BULL-015,36,measurement
20220726-BULL-016,450,measurement
20220726-BULL-017,14.5,measurement
20220726-BULL-018,16,measurement
20220726-BULL-019,37.5,measurement
20220726-BULL-020,41,measurement
20220726-BULL-021,11,measurement
20220726-BULL-022,14,measurement
20220726-BULL-023,16,measurement
20220726-BULL-024,243,measurement
20220726-BULL-025,51,measurement
20220726-BULL-026,10,measurement
20220726-BULL-027,43,measurement
20220726-BULL-028,33.5,measurement
20220726-BULL-029,49,measurement
20220726-BULL-030,35,measurement
20220726-BULL-031,32,measurement
20220726-BULL-032,37,measurement
20220726-BULL-033,113,measurement
20220726-BULL-034,169,measurement
20220726-BULL-035,NA,
20220726-BULL-036,NA,
20220811-AQUE-001,33,measurement
20220811-AQUE-002,45.5,measurement
20220811-AQUE-003,24.6,measurement
20220811-AQUE-004,41.1,measurement
20220811-AQUE-005,135.5,measurement
20220812-AQUE-001,10.5,measurement
20220812-AQUE-002,17.5,measurement
20220812-AQUE-003,20,measurement
20220812-AQUE-004,350,measurement
20220812-AQUE-005,135,measurement
20220815-MOHK-001,10,measurement
20220815-MOHK-002,26.5,measurement
20220815-MOHK-003,25.3,measurement
20220815-MOHK-004,5.5,measurement
20220815-MOHK-005,9.5,measurement
20220815-MOHK-006,17,measurement
20220815-MOHK-007,8.5,measurement
20220815-MOHK-008,9,measurement
20220815-MOHK-009,26,measurement
20220815-MOHK-010,23,measurement
20220815-MOHK-011,29.8,measurement
20220815-MOHK-012,44,measurement
20220815-MOHK-013,201,measurement
20220815-MOHK-014,NA,NA
20220815-MOHK-015,30,measurement
20220815-MOHK-016,139,measurement
20220815-MOHK-017,127,measurement
20220815-MOHK-018,312,measurement
20220815-MOHK-019,5,measurement
20220818-AQUE-001,7.8,measurement
20220818-AQUE-002,6.1,measurement
20220824-CARP-001,16,measurement
20220824-CARP-002,11,measurement
20220824-CARP-003,14,measurement
20220824-CARP-004,37,measurement
20220824-CARP-005,6.5,measurement
20220824-CARP-006,23,measurement
20220824-CARP-007,35,measurement
20220824-CARP-008,8,measurement
20220824-CARP-009,13.5,measurement
20220824-CARP-010,20,measurement
20220824-CARP-011,19,measurement
20220824-CARP-012,34,measurement
20220824-CARP-013,18,measurement
20220824-CARP-014,14,measurement
20220824-CARP-015,12,measurement
20220824-CARP-016,19,measurement
20220824-CARP-017,13,measurement
20220824-CARP-018,15,measurement
20220824-CARP-019,15,measurement
20220824-CARP-020,7.5,measurement
20220824-CARP-021,13,measurement
20220824-MOHK-001,220,measurement
20220824-MOHK-002,136,measurement
20220824-MOHK-003,106,measurement
20220824-MOHK-004,120,measurement
20220824-MOHK-005,56,measurement
20220824-MOHK-006,74,measurement
20220824-MOHK-007,NA,
20220824-MOHK-008,46,measurement
20220824-MOHK-009,NA,
20220824-MOHK-010,42,measurement
