specimen_ID,subsample_ID,weight_wet_mg,weight_wet_g,drying_oven_in,drying_oven_out,weight_dry_mg,weight_dry_g,notes
20220726-BULL-017,20220726-BULL-017-D,5762,5.762,20220823,20220829,1566,1.566,
20220726-BULL-018,20220726-BULL-018-A,12998,12.998,20220806,20220810,1870,1.87,
20220726-BULL-018,20220726-BULL-018-B,6609,6.609,20220806,20220810,918,0.918,
20220726-BULL-018,20220726-BULL-018-C,1595,1.595,20220806,20220810,243,0.243,
20220726-BULL-018,20220726-BULL-018-D,1192,1.192,20220806,20220810,194,0.194,duplicate?
20220726-BULL-018,20220726-BULL-018-E,1089,1.089,20220806,20220810,149,0.149,
20220726-BULL-018,20220726-BULL-018-F,16000,16,20220822,20220829,7162,7.162,"original wet weight in grams, mislabelled on data sheet as ""D"""
20220726-BULL-019,20220726-BULL-019-A,25321,25.321,20220806,20220810,3997,3.997,
20220726-BULL-019,20220726-BULL-019-B,3987,3.987,20220806,20220810,732,0.732,
20220726-BULL-019,20220726-BULL-019-C,4751,4.751,20220806,20220810,809,0.809,
20220726-BULL-019,20220726-BULL-019-D,3100,3.1,20220806,20220810,652,0.652,
20220726-BULL-020,20220726-BULL-020-A,3356,3.356,20220806,20220810,440,0.44,
20220726-BULL-020,20220726-BULL-020-B,9919,9.919,20220806,20220810,1318,1.318,
20220726-BULL-020,20220726-BULL-020-C,4751,4.751,20220806,20220810,809,0.809,
20220726-BULL-020,20220726-BULL-020-D,3100,3.1,20220806,20220810,652,0.652,
20220726-BULL-020,20220726-BULL-020-E,12527,12.527,20220806,20220810,1831,1.831,
20220726-BULL-020,20220726-BULL-020-F,37000,37,20220822,20220829,7162,7.162,original wet weight in grams
20220726-BULL-020,20220726-BULL-020-G,10703,10.703,20220806,20220810,1321,1.321,
20220726-BULL-021,20220726-BULL-021-A,1127,1.127,20220806,20220810,178,0.178,
20220726-BULL-022,20220726-BULL-022-A,3675,3.675,20220806,20220810,776,0.776,
20220726-BULL-023,20220726-BULL-023-A,2815,2.815,20220806,20220810,412,0.412,
20220726-BULL-024,20220726-BULL-024-A,2764,2.764,20220806,20220810,386,0.386,
20220726-BULL-024,20220726-BULL-024-B,2795,2.795,20220806,20220810,352,0.352,"with pneumatocyst: wet = 3385 mg, dry = 417 mg"
20220726-BULL-024,20220726-BULL-024-C,2196,2.196,20220806,20220810,291,0.291,
20220726-BULL-024,20220726-BULL-024-D,3059,3.059,20220806,20220810,396,0.396,
20220726-BULL-024,20220726-BULL-024-E,3000,3,20220806,20220810,396,0.396,
20220726-BULL-024,20220726-BULL-024-F,2695,2.695,20220806,20220810,359,0.359,"with pneumatocyst: wet = 2886 mg, no dry weight"
20220726-BULL-024,20220726-BULL-024-G,2445,2.445,20220806,20220810,323,0.323,"with pneumatocyst: wet = 2940 mg, dry = 363 mg"
20220726-BULL-024,20220726-BULL-024-H,3233,3.233,20220806,20220810,412,0.412,"with pneumatocyst: wet = 3827 mg, dry = 474 mg"
20220726-BULL-024,20220726-BULL-024-I,1098,1.098,20220806,20220810,139,0.139,
20220726-BULL-024,20220726-BULL-024-J,1583,1.583,20220806,20220810,227,0.227,
20220726-BULL-024,20220726-BULL-024-K,186000,186,20220729,20220803,28972,28.972,original wet weight in grams
20220726-BULL-025,20220726-BULL-025-A,40952,40.952,20220806,20220810,6702,6.702,
20220726-BULL-026,20220726-BULL-026-A,2223,2.223,20220806,20220810,228,0.228,
20220726-BULL-027,20220726-BULL-027-A,25505,25.505,20220806,20220810,4358,4.358,
20220726-BULL-028,20220726-BULL-028-A,1252,1.252,20220806,20220810,159,0.159,
20220726-BULL-028,20220726-BULL-028-B,961,0.961,20220806,20220810,122,0.122,
20220726-BULL-028,20220726-BULL-028-C,826,0.826,20220806,20220810,119,0.119,
20220726-BULL-028,20220726-BULL-028-D,347,0.347,20220806,20220810,44,0.044,
20220726-BULL-028,20220726-BULL-028-E,4090,4.09,20220806,20220810,504,0.504,
20220726-BULL-028,20220726-BULL-028-F,37000,37,20220730,20220805,4794,4.794,original wet weight in grams
20220726-BULL-029,20220726-BULL-029-A,301,0.301,20220806,20220810,46,0.046,
20220726-BULL-029,20220726-BULL-029-B,291,0.291,20220806,20220810,47,0.047,
20220726-BULL-029,20220726-BULL-029-C,7475,7.475,20220806,20220810,975,0.975,
20220726-BULL-029,20220726-BULL-029-D,5860,5.86,20220806,20220810,941,0.941,
20220726-BULL-029,20220726-BULL-029-E,4618,4.618,20220806,20220810,686,0.686,
20220726-BULL-029,20220726-BULL-029-F,71000,71,20220730,20220805,10233,10.233,original wet weight in grams
20220726-BULL-030,20220726-BULL-030-A,7170,7.17,20220808,20220813,866,0.866,
20220726-BULL-030,20220726-BULL-030-B,5275,5.275,20220808,20220813,782,0.782,
20220726-BULL-030,20220726-BULL-030-C,2086,2.086,20220808,20220813,343,0.343,
20220726-BULL-030,20220726-BULL-030-D,14182,14.182,20220808,20220813,1837,1.837,
20220726-BULL-030,20220726-BULL-030-E,5115,5.115,20220808,20220813,676,0.676,
20220726-BULL-030,20220726-BULL-030-F,116000,116,20220730,20220805,15775,15.775,original wet weight in grams
20220726-BULL-031,20220726-BULL-031-A,4129,4.129,20220808,20220813,473,0.473,
20220726-BULL-031,20220726-BULL-031-B,1432,1.432,20220808,20220813,145,0.145,
20220726-BULL-031,20220726-BULL-031-C,2254,2.254,20220808,20220813,268,0.268,
20220726-BULL-031,20220726-BULL-031-D,1801,1.801,20220808,20220813,247,0.247,
20220726-BULL-031,20220726-BULL-031-E,10315,10.315,20220808,20220813,1417,1.417,
20220726-BULL-031,20220726-BULL-031-F,5168,5.168,20220730,20220805,882,0.882,
20220726-BULL-032,20220726-BULL-032-A,5835,5.835,20220808,20220813,917,0.917,
20220726-BULL-032,20220726-BULL-032-B,3662,3.662,20220808,20220813,440,0.44,
20220726-BULL-032,20220726-BULL-032-C,6868,6.868,20220808,20220813,987,0.987,
20220726-BULL-032,20220726-BULL-032-D,2462,2.462,20220808,20220813,281,0.281,
20220726-BULL-032,20220726-BULL-032-E,5604,5.604,20220808,20220813,744,0.744,
20220726-BULL-032,20220726-BULL-032-F,10971,10.971,20220808,20220813,1601,1.601,
20220726-BULL-032,20220726-BULL-032-G,5939,5.939,20220808,20220813,816,0.816,
20220726-BULL-033,20220726-BULL-033-A,49264,49.264,20220808,20220813,6944,6.944,
20220726-BULL-033,20220726-BULL-033-B,25665,25.665,20220808,20220813,3037,3.037,
20220726-BULL-033,20220726-BULL-033-C,12005,12.005,20220808,20220813,1395,1.395,
20220726-BULL-033,20220726-BULL-033-D,5176,5.176,20220808,20220813,614,0.614,
20220726-BULL-033,20220726-BULL-033-E,13534,13.534,20220808,20220813,1632,1.632,
20220726-BULL-033,20220726-BULL-033-F,82933,82.933,20220808,20220813,9806,9.806,
20220726-BULL-033,20220726-BULL-033-G,12453,12.453,20220808,20220813,3365,3.365,
20220726-BULL-033,20220726-BULL-033-H,8681,8.681,20220808,20220813,1728,1.728,
20220726-BULL-034,20220726-BULL-034-A,67782,67.782,20220808,20220813,9666,9.666,
20220726-BULL-034,20220726-BULL-034-B,29829,29.829,20220808,20220813,3492,3.492,
20220726-BULL-034,20220726-BULL-034-C,27707,27.707,20220808,20220813,3143,3.143,
20220726-BULL-034,20220726-BULL-034-D,29515,29.515,20220808,20220813,3634,3.634,
20220726-BULL-034,20220726-BULL-034-E,28248,28.248,20220808,20220813,3186,3.186,
20220726-BULL-034,20220726-BULL-034-F,478000,478,20220729,20220803,88000,88,original wet and dry weights in grams
20220726-BULL-034,20220726-BULL-034-G,51000,51,20220808,20220813,16105,16.105,original wet weight in grams
20220726-BULL-034,20220726-BULL-034-H,84000,84,20220808,20220813,17983,17.983,original wet weight in grams
20220726-BULL-035,20220726-BULL-035-A,13557,13.557,20220808,20220813,1524,1.524,
20220726-BULL-036,20220726-BULL-036-A,38295,38.295,20220808,20220813,4933,4.933,
20220811-AQUE-001,20220811-AQUE-001-A,3653,3.653,20220822,20220829,259,0.259,
20220811-AQUE-001,20220811-AQUE-001-B,1584,1.584,20220822,20220829,119,0.119,
20220811-AQUE-001,20220811-AQUE-001-C,1105,1.105,20220822,20220829,93,0.093,
20220811-AQUE-002,20220811-AQUE-002-A,16985,16.985,20220822,20220829,1852,1.852,
20220811-AQUE-002,20220811-AQUE-002-B,321,0.321,20220822,20220829,31,0.031,
20220811-AQUE-003,20220811-AQUE-003-A,9889,9.889,20220822,20220829,782,0.782,
20220811-AQUE-004,20220811-AQUE-004-A,18843,18.843,20220822,20220829,1364,1.364,
20220811-AQUE-004,20220811-AQUE-004-B,626,0.626,20220822,20220829,54,0.054,
20220811-AQUE-004,20220811-AQUE-004-C,113,0.113,20220822,20220829,19,0.019,
20220811-AQUE-005,20220811-AQUE-005-A,11175,11.175,20220822,20220829,982,0.982,
20220811-AQUE-005,20220811-AQUE-005-B,91,0.091,20220822,20220829,30,0.03,
20220812-AQUE-001,20220812-AQUE-001-A,1288,1.288,20220822,20220829,138,0.138,
20220812-AQUE-002,20220812-AQUE-002-A,4602,4.602,20220822,20220829,517,0.517,
20220812-AQUE-002,20220812-AQUE-002-B,10526,10.526,20220822,20220829,1082,1.082,
20220812-AQUE-003,20220812-AQUE-003-A,2915,2.915,20220822,20220829,331,0.331,
20220812-AQUE-004,20220812-AQUE-004-A,111000,111,20220822,20220829,9954,9.954,original wet weight in grams
20220812-AQUE-005,20220812-AQUE-005-A,69000,69,20220822,20220829,7985,7.985,original wet weight in grams
20220815-MOHK-001,20220815-MOHK-001-A,527,0.527,20220829,20220903,100,0.1,
20220815-MOHK-001,20220815-MOHK-001-B,737,0.737,20220829,20220903,163,0.163,
20220815-MOHK-001,20220815-MOHK-001-C,1101,1.101,20220829,20220903,268,0.268,
20220815-MOHK-001,20220815-MOHK-001-D,256,0.256,20220829,20220903,44,0.044,
20220815-MOHK-001,20220815-MOHK-001-E,166,0.166,20220829,20220903,36,0.036,
20220815-MOHK-001,20220815-MOHK-001-F,320,0.32,20220829,20220903,69,0.069,
20220815-MOHK-001,20220815-MOHK-001-G,2026,2.026,20220829,20220903,422,0.422,
20220815-MOHK-002,20220815-MOHK-002-A,10711,10.711,20220829,20220903,2130,2.13,
20220815-MOHK-003,20220815-MOHK-003-A,4116,4.116,20220829,20220903,836,0.836,
20220815-MOHK-003,20220815-MOHK-003-B,337,0.337,20220829,20220903,65,0.065,
20220815-MOHK-004,20220815-MOHK-004-A,465,0.465,20220829,20220903,95,0.095,
20220815-MOHK-004,20220815-MOHK-004-B,492,0.492,20220829,20220903,103,0.103,
20220815-MOHK-004,20220815-MOHK-004-C,432,0.432,20220829,20220903,86,0.086,
20220815-MOHK-004,20220815-MOHK-004-D,925,0.925,20220829,20220903,199,0.199,
20220815-MOHK-004,20220815-MOHK-004-E,910,0.91,20220829,20220903,176,0.176,
20220815-MOHK-005,20220815-MOHK-005-A,215,0.215,20220912,20220927,114,0.114,
20220815-MOHK-005,20220815-MOHK-005-B,605,0.605,20220912,20220927,277,0.277,
20220815-MOHK-005,20220815-MOHK-005-C,1203,1.203,20220912,20220927,498,0.498,
20220815-MOHK-005,20220815-MOHK-005-D,8614,8.614,20220912,20220927,3238,3.238,
20220815-MOHK-006,20220815-MOHK-006-A,3373,3.373,20220829,20220903,690,0.69,
20220815-MOHK-006,20220815-MOHK-006-B,1372,1.372,20220829,20220903,299,0.299,
20220815-MOHK-006,20220815-MOHK-006-C,737,0.737,20220829,20220903,150,0.15,
20220815-MOHK-006,20220815-MOHK-006-D,710,0.71,20220829,20220903,155,0.155,
20220815-MOHK-007,20220815-MOHK-007-A,441,0.441,20220829,20220903,109,0.109,
20220815-MOHK-007,20220815-MOHK-007-B,243,0.243,20220829,20220903,55,0.055,
20220815-MOHK-007,20220815-MOHK-007-C,757,0.757,20220829,20220903,177,0.177,
20220815-MOHK-007,20220815-MOHK-007-D,2830,2.83,20220829,20220903,758,0.758,
20220815-MOHK-008,20220815-MOHK-008-A,429,0.429,20220912,20220927,245,0.245,
20220815-MOHK-008,20220815-MOHK-008-B,369,0.369,20220912,20220927,189,0.189,
20220815-MOHK-008,20220815-MOHK-008-C,531,0.531,20220912,20220927,311,0.311,
20220815-MOHK-008,20220815-MOHK-008-D,1312,1.312,20220912,20220927,699,0.699,
20220815-MOHK-009,20220815-MOHK-009-A,2625,2.625,20220829,20220903,456,0.456,
20220815-MOHK-009,20220815-MOHK-009-B,3619,3.619,20220829,20220903,491,0.491,
20220815-MOHK-009,20220815-MOHK-009-C,5116,5.116,20220829,20220903,837,0.837,
20220815-MOHK-009,20220815-MOHK-009-D,13755,13.755,20220829,20220903,2336,2.336,
20220815-MOHK-010,20220815-MOHK-010-A,11341,11.341,20220829,20220903,2797,2.797,
20220815-MOHK-010,20220815-MOHK-010-B,16391,16.391,20220829,20220903,3392,3.392,
20220815-MOHK-011,20220815-MOHK-011-A,401,0.401,20220912,20220927,225,0.225,
20220815-MOHK-011,20220815-MOHK-011-B,468,0.468,20220912,20220927,276,0.276,
20220815-MOHK-011,20220815-MOHK-011-C,371,0.371,20220912,20220927,207,0.207,
20220815-MOHK-011,20220815-MOHK-011-D,7442,7.442,20220912,20220927,3791,3.791,
20220815-MOHK-012,20220815-MOHK-012-A,5423,5.423,20220830,20220906,1069,1.069,
20220815-MOHK-012,20220815-MOHK-012-B,5590,5.59,20220830,20220906,943,0.943,
20220815-MOHK-012,20220815-MOHK-012-C,5082,5.082,20220830,20220906,1002,1.002,
20220815-MOHK-012,20220815-MOHK-012-D,3466,3.466,20220830,20220906,6371,6.371,
20220815-MOHK-013,20220815-MOHK-013-A,92963,92.963,20220830,20220906,17494,17.494,
20220815-MOHK-013,20220815-MOHK-013-B,50886,50.886,20220830,20220906,8054,8.054,
20220815-MOHK-013,20220815-MOHK-013-C,47952,47.952,20220830,20220906,7913,7.913,
20220815-MOHK-013,20220815-MOHK-013-D,29264,29.264,20220830,20220906,4183,4.183,
20220815-MOHK-013,20220815-MOHK-013-E,202000,202,20220830,20220906,30297,30.297,original wet weight in grams
20220815-MOHK-013,20220815-MOHK-013-F,7652,7.652,20220830,20220906,2766,2.766,
20220815-MOHK-013,20220815-MOHK-013-G,12675,12.675,20220830,20220906,3010,3.01,
20220815-MOHK-014,20220815-MOHK-014-A,431000,431,20220830,20220906,59000,59,original wet and dry weights in grams
20220815-MOHK-014,20220815-MOHK-014-B,760,0.76,20220830,20220906,237,0.237,
20220815-MOHK-014,20220815-MOHK-014-C,6617,6.617,20220830,20220906,1903,1.903,
20220815-MOHK-015,20220815-MOHK-015-A,5470,5.47,20220830,20220906,695,0.695,
20220815-MOHK-015,20220815-MOHK-015-B,6168,6.168,20220830,20220906,1022,1.022,
20220815-MOHK-015,20220815-MOHK-015-C,4524,4.524,20220830,20220906,696,0.696,
20220815-MOHK-015,20220815-MOHK-015-D,42000,42,20220830,20220906,5787,5.787,original wet weight in grams
20220815-MOHK-016,20220815-MOHK-016-A,41230,41.23,20220830,20220906,5546,5.546,
20220815-MOHK-016,20220815-MOHK-016-B,4787,4.787,20220830,20220906,520,0.52,
20220815-MOHK-016,20220815-MOHK-016-C,12716,12.716,20220830,20220906,1563,1.563,
20220815-MOHK-016,20220815-MOHK-016-D,17323,17.323,20220830,20220906,2138,2.138,
