specimen_ID,subsample_ID,length,width,...5
20210621-MOHK-021,20210621-MOHK-021-A,19.5,0.1,
20210621-MOHK-022,20210621-MOHK-022-A,16.4,6.3,
20210621-MOHK-023,20210621-MOHK-023-A,12.8,0.5,
20210623-CAPT-001,,NA,NA,
20210623-CAPT-002,,NA,NA,
20210623-CAPT-003,,NA,NA,
20210623-CAPT-004,,NA,NA,
20210623-CAPT-005,,NA,NA,
20210623-CAPT-006,,NA,NA,
20210623-CAPT-007,,NA,NA,
20210623-CAPT-008,,NA,NA,
20210623-CAPT-009,,NA,NA,
20210623-CAPT-010,,NA,NA,
20210630-MOHK-001,20210630-MOHK-001-A,81.8,9.6,
20210630-MOHK-001,20210630-MOHK-001-B,9.2,NA,
20210630-MOHK-001,20210630-MOHK-001-C,NA,3.4,
20210630-MOHK-002,20210630-MOHK-002-A,26.8,8.5,
20210630-MOHK-002,20210630-MOHK-002-B,7.9,NA,
20210630-MOHK-002,20210630-MOHK-002-C,NA,2,
20210630-MOHK-003,20210630-MOHK-003-A,33.5,6.2,
20210630-MOHK-003,20210630-MOHK-003-B,9,NA,
20210630-MOHK-003,20210630-MOHK-003-C,NA,6,
20210630-MOHK-004,20210630-MOHK-004-A,59,10.8,
20210630-MOHK-004,20210630-MOHK-004-B,9.3,NA,
20210630-MOHK-004,20210630-MOHK-004-C,NA,3,
20210630-MOHK-005,20210630-MOHK-005-A,88.3,13.2,
20210630-MOHK-005,20210630-MOHK-005-B,9.6,NA,
20210630-MOHK-005,20210630-MOHK-005-C,NA,4.8,
20210630-MOHK-006,20210630-MOHK-006-A,48.9,12.1,
20210630-MOHK-006,20210630-MOHK-006-B,13.9,NA,
20210630-MOHK-006,20210630-MOHK-006-C,NA,5.8,
20210630-MOHK-007,20210630-MOHK-007-A,59,13.3,
20210630-MOHK-007,20210630-MOHK-007-B,12,NA,
20210630-MOHK-007,20210630-MOHK-007-C,NA,5.8,
20210630-MOHK-008,20210630-MOHK-008-A,50.5,8.6,
20210630-MOHK-008,20210630-MOHK-008-B,8.1,NA,
20210630-MOHK-008,20210630-MOHK-008-C,NA,3.6,
20210630-MOHK-009,20210630-MOHK-009-A,35.5,9.1,
20210630-MOHK-009,20210630-MOHK-009-B,9.5,NA,
20210630-MOHK-009,20210630-MOHK-009-C,NA,3.6,
20210630-MOHK-010,20210630-MOHK-010-A,33.3,8.6,
20210630-MOHK-010,20210630-MOHK-010-B,9.1,NA,
20210630-MOHK-010,20210630-MOHK-010-C,NA,4.2,
20210630-MOHK-011,20210630-MOHK-011-A,19.1,7.9,
20210630-MOHK-011,20210630-MOHK-011-B,2.5,NA,
20210630-MOHK-011,20210630-MOHK-011-C,NA,1.4,
20210630-MOHK-012,20210630-MOHK-012-A,90.4,13,
20210630-MOHK-012,20210630-MOHK-012-B,9,NA,
20210630-MOHK-012,20210630-MOHK-012-C,NA,5.1,
20210630-MOHK-013,20210630-MOHK-013-A,86.2,13.9,
20210630-MOHK-013,20210630-MOHK-013-B,3.2,NA,
20210630-MOHK-013,20210630-MOHK-013-C,NA,4.2,
20210630-MOHK-014,20210630-MOHK-014-A,97.3,18.3,
20210630-MOHK-014,20210630-MOHK-014-B,6.2,NA,
20210630-MOHK-014,20210630-MOHK-014-C,NA,6.9,
20210630-MOHK-015,20210630-MOHK-015-A,57.3,13.2,
20210630-MOHK-015,20210630-MOHK-015-B,4,NA,
20210630-MOHK-015,20210630-MOHK-015-C,NA,5.4,
20210630-MOHK-016,20210630-MOHK-016-A,117,15.9,
20210630-MOHK-016,20210630-MOHK-016-B,5.4,NA,
20210630-MOHK-016,20210630-MOHK-016-C,NA,5.1,
20210630-MOHK-017,20210630-MOHK-017-A,102,14.5,
20210630-MOHK-017,20210630-MOHK-017-B,8.1,NA,
20210630-MOHK-017,20210630-MOHK-017-C,NA,7.2,
20210630-MOHK-018,20210630-MOHK-018-A,49.6,9.5,
20210630-MOHK-018,20210630-MOHK-018-B,6.7,NA,
20210630-MOHK-019,20210630-MOHK-019-A,78.8,16.7,
20210630-MOHK-019,20210630-MOHK-019-B,3.6,NA,
20210630-MOHK-020,20210630-MOHK-020-A,49.7,12.2,
20210630-MOHK-020,20210630-MOHK-020-B,3.6,NA,
20210630-MOHK-021,20210630-MOHK-021-A,39.8,10.5,
20210630-MOHK-021,20210630-MOHK-021-B,1.8,NA,
20210630-MOHK-022,20210630-MOHK-022-A,16,13,
20210630-MOHK-023,20210630-MOHK-023-A,9.5,1.4,
20210630-MOHK-024,20210630-MOHK-024-A,14.6,2.2,
20210630-MOHK-024,20210630-MOHK-024-B,9.2,1.4,
20210630-MOHK-025,20210630-MOHK-025-A,9.8,1.5,
20210630-MOHK-026,20210630-MOHK-026-A,12.8,1.8,
20210630-MOHK-027,20210630-MOHK-027-A,14.4,1.9,
20210630-MOHK-028,20210630-MOHK-028-A,36.8,10.8,
20210630-MOHK-028,20210630-MOHK-028-B,8.6,NA,
20210630-MOHK-028,20210630-MOHK-028-C,NA,8.3,
20210630-MOHK-029,20210630-MOHK-029-A,19.2,10.9,
20210630-MOHK-029,20210630-MOHK-029-B,13.9,NA,
20210630-MOHK-029,20210630-MOHK-029-C,NA,3.9,
20210630-MOHK-030,20210630-MOHK-030-A,28.7,8.2,
20210630-MOHK-030,20210630-MOHK-030-B,9.5,NA,
20210630-MOHK-030,20210630-MOHK-030-C,NA,3.8,
20210630-MOHK-031,20210630-MOHK-031-A,13.6,6.7,
20210630-MOHK-031,20210630-MOHK-031-B,2.6,NA,
20210630-MOHK-031,20210630-MOHK-031-C,NA,1.6,
20210630-MOHK-032,20210630-MOHK-032-A,19.7,7.7,
20210630-MOHK-033,20210630-MOHK-033-A,17.2,4.5,
20210630-MOHK-034,20210630-MOHK-034-A,41.3,9.6,
20210630-MOHK-035,20210630-MOHK-035-A,30.3,8.4,
20210630-MOHK-035,20210630-MOHK-035-B,11.2,NA,
20210630-MOHK-035,20210630-MOHK-035-C,NA,2.9,
20210630-MOHK-036,20210630-MOHK-036-A,47.8,10.9,
20210630-MOHK-036,20210630-MOHK-036-B,9.8,NA,
20210630-MOHK-036,20210630-MOHK-036-C,NA,3.8,
20210630-MOHK-037,20210630-MOHK-037-A,34.9,9,
20210630-MOHK-037,20210630-MOHK-037-B,9.2,NA,
20210630-MOHK-037,20210630-MOHK-037-C,NA,4.6,
20210630-MOHK-038,20210630-MOHK-038-A,49.9,10.2,
20210630-MOHK-038,20210630-MOHK-038-B,10.8,NA,
20210630-MOHK-038,20210630-MOHK-038-C,NA,5.5,
20210630-MOHK-039,20210630-MOHK-039-A,20.9,9.2,
20210630-MOHK-039,20210630-MOHK-039-B,8,NA,
20210630-MOHK-039,20210630-MOHK-039-C,NA,2.5,
