specimen_ID,date_collected,year,site,sp_code,lifestage
20210721-BULL-016,2021-07-21,2021,Bullito,PHSE,NA
20210721-BULL-017,2021-07-21,2021,Bullito,PHSE,NA
20210721-BULL-018,2021-07-21,2021,Bullito,PHSE,NA
20210721-BULL-019,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-020,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-021,2021-07-21,2021,Bullito,Nandersoniana,NA
20210721-BULL-022,2021-07-21,2021,Bullito,Nandersoniana,NA
20210721-BULL-023,2021-07-21,2021,Bullito,Nandersoniana,NA
20210721-BULL-024,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-025,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-026,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-027,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-028,2021-07-21,2021,Bullito,BF,NA
20210721-BULL-029,2021-07-21,2021,Bullito,BF,NA
20210722-AQUE-001,2021-07-22,2021,Arroyo Quemado,MAPY,recruit
20210722-AQUE-002,2021-07-22,2021,Arroyo Quemado,PTCA,recruit
20210722-AQUE-003,2021-07-22,2021,Arroyo Quemado,PTCA,recruit
20210722-AQUE-004,2021-07-22,2021,Arroyo Quemado,PTCA,adult
20210722-AQUE-005,2021-07-22,2021,Arroyo Quemado,PTCA,adult
20220405-MOHK-001,2022-04-05,2022,Mohawk,PTCA,adult
20220405-MOHK-002,2022-04-05,2022,Mohawk,PTCA,adult
20220405-MOHK-003,2022-04-05,2022,Mohawk,PTCA,adult
20220407-AQUE-001,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-002,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-003,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-004,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-005,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-006,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-007,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-008,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-009,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-010,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-011,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220407-AQUE-012,2022-04-07,2022,Arroyo Quemado,PTCA,adult
20220421-AQUE-001,2022-04-21,2022,Arroyo Quemado,CYOS,NA
20220421-AQUE-002,2022-04-21,2022,Arroyo Quemado,CYOS,NA
20220421-AQUE-003,2022-04-21,2022,Arroyo Quemado,CYOS,NA
20220421-AQUE-004,2022-04-21,2022,Arroyo Quemado,CYOS,NA
20220421-AQUE-005,2022-04-21,2022,Arroyo Quemado,CYOS,NA
20220428-AQUE-001,2022-04-28,2022,Arroyo Quemado,PTCA,adult
20220503-AQUE-001,2022-05-03,2022,Arroyo Quemado,CYOS,NA
20220503-AQUE-002,2022-05-03,2022,Arroyo Quemado,CYOS,NA
20220503-AQUE-003,2022-05-03,2022,Arroyo Quemado,CYOS,NA
20220503-AQUE-004,2022-05-03,2022,Arroyo Quemado,CYOS,NA
20220503-AQUE-005,2022-05-03,2022,Arroyo Quemado,CYOS,NA
20220503-AQUE-006,2022-05-03,2022,Arroyo Quemado,CYOS,NA
20220503-AQUE-007,2022-05-03,2022,Arroyo Quemado,CYOS,NA
20220503-AQUE-008,2022-05-03,2022,Arroyo Quemado,DL,NA
20220503-AQUE-009,2022-05-03,2022,Arroyo Quemado,DL,NA
20220712-AQUE-001,2022-07-12,2022,Arroyo Quemado,DL,NA
20220719-NAPL-001,2022-07-19,2022,Naples,CC,NA
20220719-NAPL-002,2022-07-19,2022,Naples,R,NA
20220719-NAPL-003,2022-07-19,2022,Naples,CO,NA
20220719-NAPL-004,2022-07-19,2022,Naples,CF,NA
20220719-NAPL-005,2022-07-19,2022,Naples,CF,NA
20220719-NAPL-006,2022-07-19,2022,Naples,NA,NA
20220719-NAPL-007,2022-07-19,2022,Naples,PTCA,adult
20220719-NAPL-008,2022-07-19,2022,Naples,CC,NA
20220719-NAPL-009,2022-07-19,2022,Naples,NA,NA
20220719-NAPL-010,2022-07-19,2022,Naples,CC,NA
20220719-NAPL-011,2022-07-19,2022,Naples,GR,NA
20220719-NAPL-012,2022-07-19,2022,Naples,CO,NA
20220719-NAPL-013,2022-07-19,2022,Naples,NA,NA
20220719-NAPL-014,2022-07-19,2022,Naples,CC,NA
20220719-NAPL-015,2022-07-19,2022,Naples,CC,NA
20220719-NAPL-016,2022-07-19,2022,Naples,GR,NA
20220719-NAPL-017,2022-07-19,2022,Naples,CC,NA
20220719-NAPL-018,2022-07-19,2022,Naples,CC,NA
20220719-NAPL-019,2022-07-19,2022,Naples,LAFA,adult
20220719-NAPL-020,2022-07-19,2022,Naples,PTCA,adult
20220719-NAPL-021,2022-07-19,2022,Naples,PTCA,adult
20220721-NAPL-001,2022-07-21,2022,Naples,CO,NA
20220721-NAPL-002,2022-07-21,2022,Naples,CO,NA
20220721-NAPL-003,2022-07-21,2022,Naples,GR,NA
20220721-NAPL-004,2022-07-21,2022,Naples,LAFA,NA
20220721-NAPL-005,2022-07-21,2022,Naples,GR,NA
20220721-NAPL-006,2022-07-21,2022,Naples,CYOS,NA
20220721-NAPL-007,2022-07-21,2022,Naples,LAFA,NA
20220721-NAPL-008,2022-07-21,2022,Naples,LAFA,NA
20220721-NAPL-009,2022-07-21,2022,Naples,LAFA,NA
20220721-NAPL-010,2022-07-21,2022,Naples,CYOS,NA
20220721-NAPL-011,2022-07-21,2022,Naples,CO,NA
20220721-NAPL-012,2022-07-21,2022,Naples,CO,NA
20220721-NAPL-013,2022-07-21,2022,Naples,R,NA
20220721-NAPL-014,2022-07-21,2022,Naples,R,NA
20220721-NAPL-015,2022-07-21,2022,Naples,CYOS,NA
20220721-NAPL-016,2022-07-21,2022,Naples,CYOS,NA
20220721-NAPL-017,2022-07-21,2022,Naples,CYOS,NA
20220721-NAPL-018,2022-07-21,2022,Naples,CO,NA
20220721-NAPL-019,2022-07-21,2022,Naples,GR,NA
20220726-BULL-001,2022-07-26,2022,Bullito,R,NA
20220726-BULL-002,2022-07-26,2022,Bullito,BF,NA
20220726-BULL-003,2022-07-26,2022,Bullito,CC,NA
20220726-BULL-004,2022-07-26,2022,Bullito,GR,NA
20220726-BULL-005,2022-07-26,2022,Bullito,GR,NA
20220726-BULL-006,2022-07-26,2022,Bullito,BF,NA
20220726-BULL-007,2022-07-26,2022,Bullito,Nandersoniana,NA
